step,reward/all/mean,reward/all/max,reward/all/min,metrics/harleycooper/adaption-dakota-qa/char_f1_reward,metrics/harleycooper/adaption-dakota-qa/dakota_term_reward,metrics/harleycooper/adaption-dakota-qa/keyword_reward,metrics/harleycooper/adaption-dakota-qa/length_reward,filters/all/zero_advantage,empty_rollouts/all,errored_rollouts/all,progress/total_tokens,progress/total_samples
0,0.2832995958725967,0.5028064850255948,0.12264558948481216,0.32656472418136495,0.25551609848484846,0.452124451754386,0.5718491751864297,0.0,0.0,0.0,51814.0,128.0
1,0.2725112129815671,0.4025031217689655,0.06386413393727126,0.32869891490824593,0.22223484848484848,0.41704740921846184,0.611089183262818,0.0,0.0,0.0,106844.0,256.0
2,0.3119350072610957,0.5270821029269019,0.18311885406877587,0.38871222241904557,0.2916277732683983,0.36675087065712064,0.7225598907724674,0.0,0.0,0.0,162313.0,384.0
3,0.27433766186836495,0.4324312699133565,0.143937077815857,0.3535286714794549,0.22552083333333334,0.35970207093253964,0.6434393335862028,0.0,0.0,0.0,216287.0,512.0
4,0.2438238827316564,0.3597452593182725,0.011876674840412261,0.28026171762744284,0.2271205357142857,0.3723892427017427,0.497639062052486,0.0,0.0,0.0,262809.0,640.0
5,0.30212333308557904,0.5350992621238835,0.20626462674220694,0.3885137820818503,0.2630394345238095,0.35801640850468974,0.7238059593227011,0.0,0.0,0.0,312277.0,768.0
6,0.28858739748063167,0.6010710719909976,0.011354396442967471,0.43227918386120673,0.207780652507215,0.2873840161064426,0.7507580334719912,0.0,0.0,0.0,364884.0,896.0
7,0.3666384166667661,0.6161508854946929,0.16427400567485306,0.4062672504388022,0.4451704545454545,0.3876984126984127,0.733657057886673,0.0,0.0,0.0,421346.0,1024.0
8,0.2982145595704387,0.5137922617717865,0.03200895617045944,0.34218683364689084,0.30210869859307354,0.39767621063576947,0.6238380998542852,0.0,0.0,0.0,473235.0,1152.0
9,0.32505800069296964,0.5035327880444944,0.1889950976415069,0.3753719288095344,0.3274181547619047,0.4247585701944254,0.692757865328508,0.0,0.0,0.0,521503.0,1280.0
10,0.29578611180279313,0.5094043201795114,0.13307899082026017,0.3086764653295993,0.318266369047619,0.43870827637275,0.5733084330019504,0.0,0.0,0.0,577218.0,1408.0
11,0.3390050142340304,0.5212071799027111,0.19969783551461082,0.43233787147316993,0.31094990079365076,0.41480358833874464,0.7541503787683095,0.0,0.0,0.0,629793.0,1536.0
12,0.26079176672442583,0.41406997907527454,0.04067907759483148,0.2978220479143848,0.2333519345238095,0.4339447695944406,0.5123895894952066,0.0,0.0,0.0,679493.0,1664.0
13,0.3210254162004043,0.5569690042272459,0.14981309452332287,0.41124491723756823,0.3024347830988456,0.37358684352927773,0.7144572543196694,0.0,0.0,0.0,730464.0,1792.0
14,0.3168087347203875,0.4607292328894494,0.1224341563471874,0.37835193656915767,0.3243675595238095,0.37171209168476005,0.691536689682412,0.0,0.0,0.0,780628.0,1920.0
15,0.3119226626474783,0.43306463630344544,0.1396216215912959,0.40671421067484054,0.261328125,0.41814236111111114,0.6912431831210153,0.0,0.0,0.0,834948.0,2048.0
16,0.3600672822595745,0.5502882592479964,0.1703237124210387,0.4254100194234495,0.44720982142857146,0.31243292297979797,0.7268689252817102,0.0,0.0,0.0,888174.0,2176.0
17,0.31673693622441024,0.4657422384444292,0.15086666014380845,0.38013659516681797,0.3010323660714286,0.425580210029586,0.675560461068393,0.0,0.0,0.0,940827.0,2304.0
18,0.3285285628836101,0.5213511889365388,0.10823641008435977,0.43913594020679614,0.2799479166666667,0.40068919795482294,0.7465682313868764,0.0,0.0,0.0,988333.0,2432.0
19,0.31694474452452853,0.5617288431136023,0.037643394022972676,0.39895654868461294,0.30937499999999996,0.36469959077380953,0.696881687373039,0.0,0.0,0.0,1037949.0,2560.0
20,0.35092765319996005,0.5411782507545683,0.2108581320923915,0.46727274587432865,0.3151098033910534,0.40429691607734375,0.7893198830246035,0.0,0.0,0.0,1090644.0,2688.0
21,0.32458266692098936,0.49339511838662387,0.17962213753011505,0.43809803316865403,0.27697172619047616,0.3788864564255189,0.7513367230785514,0.0,0.0,0.0,1142025.0,2816.0
22,0.36766331967564736,0.5147099591296715,0.26327155449658823,0.5042207332728336,0.33737909226190477,0.3621362601214575,0.8607396966064893,0.0,0.0,0.0,1188052.0,2944.0
23,0.3466715470322894,0.46045912731524324,0.1894762090818685,0.47699463683788157,0.3188802083333333,0.3448009672619048,0.8003868023353335,0.0,0.0,0.0,1234867.0,3072.0
24,0.32671572436264057,0.5571605269135628,0.14286368292246113,0.4611626913007809,0.2788938492063492,0.3301168774801587,0.7823936515351676,0.0,0.0,0.0,1284444.0,3200.0
