perf/throughput,progress/problems,_runtime,progress/total_problems,prompt_len/max,is_truncated/mean,prompt_len/min,seq_len/mean,batch/off_policy_level/mean,metrics/pattern_reward,metrics/affix_reward,reward/mean,seq_len/min,metrics/char_overlap_reward,time/wait_for_ckpt,_step,time/update_weights,completion_len/max,batch/async_level,completion_len/min,batch/off_policy_level/min,batch/solve_all,seq_len/max,batch/solve_none,is_truncated/max,step,progress/ckpt_step,batch/effective_batch_size,metrics/length_penalty_reward,time/step,prompt_len/mean,batch/off_policy_level/max,progress/samples,time/save_ckpt,progress/total_samples,progress/tokens,is_truncated/min,progress/total_tokens,_timestamp,completion_len/mean,time/generate_completions,metrics/exact_match_reward
12069.865721424307,32,56.073178754,32,200,0.375,98,566.80078125,0.0,0,1.0,0.12833384445308177,379.375,0.05210962343250221,0.0,0,0.0,512.0,0,277.375,0,0,712.0,0,1.0,0,0,1,0.11941279844387567,12.20566177368164,130.59375,0,256,0.0,256,145101,0,145101.0,1762975476.4494977,436.20703125,12.02175760269165,0
15169.213979319362,32,171.904345943,64,166,0.2782258064516129,96,535.2802419354839,0.0,0,1.0,0.13620826277753934,393.875,0.06748910505408884,0.0,1,0.0,512.0,1,296.625,0,0,662.625,0,1.0,1,0,1,0.15140294511147712,9.238038778305054,125.12903225806451,0,256,0.0,512,137440,0,282541.0,1762975485.692153,410.15120967741933,9.060456275939941,0
1175.4351435317164,32,270.194152098,96,199,0.3046875,96,531.0078125,0.03125,0,0.96875,0.1193461042189446,391.125,0.03054152771180558,104.01390600204468,2,2.561768054962158,512.0,1,287.125,0,0,699.25,0,1.0,2,0,1,0.10908532451055661,115.826092004776,119.84375,1,256,0.0,768,135938,0,418479.0,1762975601.5227811,411.1640625,115.64908599853516,0
1379.9959675363154,32,370.07486417,128,203,0.27734375,96,526.87890625,0.0625,0,0.9895833333333333,0.12720865958699362,344.25,0.05169186186997813,87.01260137557983,3,1.6255531311035156,512.0,1,248.25,0,0,712.0,0,1.0,3,1,1,0.11941302586443103,98.28607606887817,124.15625,1,256,0.0,1024,134881,0,553360.0,1762975699.813297,402.72265625,97.74014067649841,0
1354.2388929824492,32,466.947962671,160,178,0.28515625,97,526.6640625,0.0625,0,1.0,0.12993676305980642,332.5,0.05326339479411016,88.01220965385437,4,1.3238072395324707,505.875,1,230.5,0,0,666.25,0,0.875,4,2,1,0.1285605606732293,99.87619686126709,124.4375,1,256,0.0,1280,134826,0,688186.0,1762975799.6941748,402.2265625,99.55850529670715,0
1349.5387074103915,32,561.030456894,192,171,0.25,99,509.7109375,0.21875,0,0.97265625,0.12223031793591459,351.875,0.03777376579627584,85.01227402687073,5,2.340346574783325,508.0,1,249.875,0,0,663.125,0,0.875,5,3,1,0.11606626517772957,96.86596512794495,119.375,1,256,0.0,1536,130486,0,818672.0,1762975896.5647159,390.3359375,96.68933486938477,0
1467.0853841333676,32,655.088229141,224,183,0.30859375,96,537.36328125,0.25,0,0.99609375,0.13002273104043405,363.75,0.05634610422109023,84.01229691505432,6,1.375884771347046,510.375,1,259.125,0,0,690.75,0,0.875,6,4,1,0.12762756797477348,94.07887649536133,126.90625,1,256,0.0,1792,137565,0,956237.0,1762975990.6488404,410.45703125,93.76754856109619,0
1482.323438250381,32,753.701813797,256,229,0.30078125,97,543.53125,0.4375,0,0.9947916666666667,0.1303146392096233,377.0,0.05503058384960318,83.01220536231995,7,2.019925355911255,512.0,1,280.0,0,0,741.0,0,1.0,7,5,1,0.13219570515357326,94.05397915840149,132.03125,1,256,0.0,2048,139144,0,1095381.0,1762976084.7075803,411.5,93.86885237693787,0
1347.5717119092196,32,850.195077318,288,186,0.2421875,103,518.1328125,0.4375,0,1.0,0.12417535833081696,298.625,0.034881380912251986,87.01299333572388,8,1.5120964050292969,512.0,1,195.625,0,0,698.0,0,1.0,8,6,1,0.11466054765577707,98.60881996154785,123.65625,1,256,0.0,2304,132642,0,1228023.0,1762976183.3210883,394.4765625,98.43038320541382,0
1403.4381815782924,32,943.777051137,320,181,0.2734375,97,527.18359375,0.5,0,0.97265625,0.12239943107772533,354.125,0.040833304567598705,87.01246857643127,9,1.5806872844696045,512.0,1,257.125,0,0,685.25,0,1.0,9,7,1,0.113114301094704,96.48737001419067,125.34375,1,256,0.0,2560,134959,0,1362982.0,1762976279.8138614,401.83984375,96.16312408447266,0
