trainer_probs/std,time/broadcast_weights,sequence_masked_low/min,time/step,perf/mfu,masked_mismatch_kl/mean,loss/median,is_masked_low/median,is_masked/min,inference_probs/mean,time/forward_backward,mismatch_kl/median,mismatch_kl/mean,masked_mismatch_kl/median,is_masked/median,optim/grad_norm,is_masked_high/mean,unmasked_mismatch_kl/mean,optim/lr,entropy/median,inference_probs/median,loss/max,loss/min,time/load_data,_runtime,is_masked/mean,mismatch_kl/std,mismatch_kl/min,trainer_probs/median,inference_probs/min,loss/mean,trainer_probs/max,is_masked_low/std,perf/throughput_per_gpu,sequence_masked_low/median,unmasked_mismatch_kl/min,is_masked/max,sequence_masked_low/mean,is_masked_low/max,sequence_masked_low/std,entropy/max,trainer_probs/mean,unmasked_mismatch_kl/max,perf/peak_memory,_timestamp,loss/std,mismatch_kl/max,time/save_weights,sequence_masked_low/max,inference_probs/std,time/save_ckpt,_step,is_masked_high/max,is_masked_high/min,is_masked_low/mean,time/wait_for_batch,is_masked_low/min,entropy/mean,unmasked_mismatch_kl/std,unmasked_mismatch_kl/median,masked_mismatch_kl/max,trainer_probs/min,is_masked_high/median,entropy/std,perf/throughput,step,inference_probs/max,is_masked_high/std,entropy/min,masked_mismatch_kl/min,masked_mismatch_kl/std,is_masked/std
0.35410454869270325,0.0,0,18.94516634941101,0.0,0.0,3.6423318761080736e-06,0,0,0.6342189311981201,12.73644757270813,0.0010152519680559635,0.0010282046860083938,0.0,0,0.004226722754538059,0.0,0.0010282046860083938,1e-06,0.774810791015625,0.7422266006469727,0.00024968452635221183,-0.0002901616389863193,0.008199691772460938,34.749113208,0.0,0.00023529589816462249,0,0.7428298592567444,2.5945144699335287e-08,9.264922482543625e-06,1,0.0,0.0,0,0.0,0,0,0,0,7.021622657775879,0.6339759826660156,0.00215996615588665,5.4453125,1762700990.4021788,7.761239976389334e-05,0.00215996615588665,0.0,0,0.35397520661354065,0.0,0,0,0,0.0,6.000772953033447,0,0.9309959411621094,0.00023529589816462249,0.0010152519680559635,0.0,2.4871424031402967e-08,0,0.8895789384841919,0.0,0,1,0.0,0,0,0.0,0.0
0.35611599683761597,0.8828177452087402,0,9.115480184555054,5.053505711370328,0.0,4.9180002861248795e-06,0,0,0.6291335225105286,9.08027720451355,0.0010553703177720308,0.0010465733939781785,0.0,0,0.003737866645678878,0.0,0.0010465733939781785,1e-06,0.7835922241210938,0.7362937331199646,0.00026002642698585987,-0.00020452802709769458,0.006453514099121094,43.758409492,0.0,0.0002739242045208812,0,0.7363078594207764,3.9503110116356766e-08,1.1226538845221512e-05,1,0.0,3855.0555357758158,0,0.0,0,0,0,0,7.344631195068359,0.6289715766906738,0.0020235527772456408,6.287109375,1762701000.411128,7.31421823729761e-05,0.0020235527772456408,0.8828177452087402,0,0.3559758961200714,0.0,1,0,0,0.0,0.000102996826171875,0,0.9515867233276367,0.0002739242045208812,0.0010553703177720308,0.0,3.841962481487826e-08,0,0.9222344756126404,15420.222143103263,1,1,0.0,0,0,0.0,0.0
0.3563538193702698,0.7170560359954834,0,8.274520635604858,5.179604802865548,0.0,4.4394969336281065e-06,0,0,0.6346797943115234,8.241981983184814,0.0010151254246011376,0.001024736906401813,0.0,0,0.007751778233796358,0.0,0.001024736906401813,1e-06,0.7680244445800781,0.7454688549041748,0.0009588254615664482,-0.0009612455032765865,0.007161378860473633,55.081859117,0.0,0.00022028815874364227,0,0.746086061000824,3.0426818398154865e-08,1.1356803952367045e-05,1,0.0,3951.249945852603,0,0.0,0,0,0,0,7.484387397766113,0.6344019174575806,0.0017100012628361583,8.8828125,1762701009.432899,0.0001997831859625876,0.0017100012628361583,0.7170560359954834,0,0.3561899960041046,0.0,2,0,0,0.0,0.0001289844512939453,0,0.9403501152992249,0.00022028815874364227,0.0010151254246011376,0.0,3.138506698974197e-08,0,0.9291890859603882,15804.999783410412,2,1,0.0,0,0,0.0,0.0
0.35729318857192993,0.8477017879486084,0,10.4541175365448,4.918640799095876,0.0,3.114756054856116e-06,0,0,0.6208961606025696,9.41968059539795,0.0011209598742425442,0.0011014384217560291,0.0,0,0.009014441631734371,0.0,0.0011014384217560291,1e-06,0.8205204010009766,0.7170204520225525,0.0009256867342628539,-0.00047613828792236745,0.0075473785400390625,64.740721703,0.0,0.0002507276658434421,0,0.7166532874107361,2.102589213848205e-08,2.848107942554634e-05,1,0.0,3752.1741389119015,0,0.0,0,0,0,0,7.45841646194458,0.6206666231155396,0.0017257289728149772,11.49609375,1762701020.753479,0.00018892808293458074,0.0017257289728149772,0.8477017879486084,0,0.35715627670288086,0.0,3,0,0,0.0,1.0002343654632568,0,0.9804284572601318,0.0002507276658434421,0.0011209598742425442,0.0,2.3563156759109916e-08,0,0.9319183230400085,15008.696555647606,3,1,0.0,0,0,0.0,0.0
0.3552360236644745,0.7417147159576416,0,8.898537874221802,4.819343732159892,0.0,6.461435987148434e-06,0,0,0.6239463090896606,8.86799430847168,0.0010678841499611735,0.0010711101349443197,0.0,0,0.00731405196711421,0.0,0.0010711101349443197,1e-06,0.8077564239501953,0.7215569615364075,0.0005788281559944153,-0.0007487916736863554,0.006569623947143555,72.833763497,0.0,0.0002443107368890196,0,0.7218904495239258,3.27907301311825e-08,1.8103517504641786e-05,1,0.0,3676.4255933593395,0,0.0,0,0,0,0,7.458923816680908,0.6237767338752747,0.00175026326905936,11.49609375,1762701030.4128468,0.00018360576359555125,0.00175026326905936,0.7417147159576416,0,0.355040043592453,0.0,4,0,0,0.0,0.00012564659118652344,0,0.9727597832679749,0.0002443107368890196,0.0010678841499611735,0.0,3.1520528409600956e-08,0,0.9378335475921631,14705.702373437358,4,1,0.0,0,0,0.0,0.0
0.3561611771583557,0.6626002788543701,0,7.4213902950286865,4.936636850027557,0.0,2.9872453524149023e-06,0,0,0.6288621425628662,7.389052867889404,0.001197461155243218,0.0012370500480756164,0.0,0,0.0059173512272536755,0.0,0.0012370500480756164,1e-06,0.7913265228271484,0.7340283989906311,0.00045186348143033683,-0.0004267230397090316,0.0064775943756103516,83.96049954,0.0,0.0002849804295692593,0,0.7344917058944702,2.8492884496245097e-08,1.9986697225249372e-05,1,0.0,3765.902386138413,0,0.0,0,0,0,0,7.512292861938477,0.628706157207489,0.002567409770563245,11.49609375,1762701038.5134573,0.00013654923532158136,0.002567409770563245,0.6626002788543701,0,0.3559788167476654,0.0,5,0,0,0.0,0.00015854835510253906,0,0.9595276713371277,0.0002849804295692593,0.001197461155243218,0.0,2.7148304937441026e-08,0,0.9367192387580872,15063.609544553652,5,1,0.0,0,0,0.0,0.0
0.35636797547340393,0.8029870986938477,0,10.304591417312622,4.82804301330658,0.0,6.8173944782756735e-06,0,0,0.6336770057678223,9.27090072631836,0.0011926504084840417,0.0012120811734348536,0.0,0,0.005349102895706892,0.0,0.0012120811734348536,1e-06,0.7637367248535156,0.7464649081230164,0.0007433078717440367,-0.00032077543437480927,0.0070781707763671875,93.042364219,0.0,0.00030492740916088223,0,0.7459715604782104,2.00222185497978e-08,1.1254195669607725e-05,1,0.0,3683.0618205365154,0,0.0,0,0,0,0,7.598064422607422,0.6335572600364685,0.002621145686134696,11.49609375,1762701049.6349993,0.0001221528509631753,0.002621145686134696,0.8029870986938477,0,0.35614386200904846,0.0,6,0,0,0.0,1.0002117156982422,0,0.938726007938385,0.00030492740916088223,0.0011926504084840417,0.0,1.722100151368977e-08,0,0.9205960035324097,14732.247282146061,6,1,0.0,0,0,0.0,0.0
0.3561248481273651,0.7431902885437012,0,8.317074060440063,4.849472530198246,0.004638083279132843,3.5654622934089275e-06,0,0,0.6317077279090881,8.277376651763916,0.0012415918754413724,0.0012862704461440444,0.0,0,0.006981974001973867,0.0,0.001276639522984624,1e-06,0.7760982513427734,0.7415571808815002,0.0009614425944164395,-0.00033170898677781224,0.013065338134765625,104.245383108,9.470414624956902e-06,0.0004154405032750219,0,0.7411017417907715,2.0159749425374685e-08,2.6300924218958244e-05,1,0.0030774041078984737,3699.409279595747,0,0.0,1,0,1,0,7.74334716796875,0.6316573619842529,0.003676434513181448,11.49609375,1762701058.7114325,0.00015295101911760867,0.00396036496385932,0.7431902885437012,0,0.35592082142829895,0.0,7,0,0,9.470414624956902e-06,0.0001544952392578125,0,0.9424854516983032,0.00038078887155279517,0.0012415918754413724,1.2059016227722168,2.221793593548682e-08,0,0.916358232498169,14797.637118382989,7,1,0.0,0,0,0.07478684186935425,0.0030774041078984737
0.35605329275131226,0.7485935688018799,0,10.433074235916138,4.792855114320063,0.0,7.282795195351355e-06,0,0,0.6372522711753845,9.398760557174683,0.0013519999338313937,0.0013492421712726355,0.0,0,0.006663432810455561,0.0,0.0013492421712726355,1e-06,0.7512092590332031,0.752379834651947,0.0005575355025939643,-0.0012078669387847185,0.008294343948364258,115.006141426,0.0,0.00040963408537209034,0,0.7538475394248962,1.967574192462962e-08,1.5296263882191852e-05,1,0.0,3656.218810450452,0,0.0,0,0,0,0,8.200334548950195,0.6372910141944885,0.0031236077193170786,11.49609375,1762701069.9170556,0.00015879372949711978,0.0031236077193170786,0.7485935688018799,0,0.3558237552642822,0.0,8,0,0,0.0,1.0002360343933105,0,0.9304200410842896,0.00040963408537209034,0.0013519999338313937,0.0,1.8481570052131246e-08,0,0.9236353039741516,14624.875241801808,8,1,0.0,0,0,0.0,0.0
0.35513943433761597,0.9757394790649414,0,9.71410083770752,4.7637828060152225,0.0,6.186098289617803e-06,0,0,0.6256430745124817,9.67695665359497,0.0015364271821454167,0.001600239658728242,0.0,0,0.004486377816647291,0.0,0.001600239658728242,1e-06,0.8019065856933594,0.7257297039031982,0.0003160824126098305,-0.00029740590252913535,0.008217811584472656,123.524132223,0.0,0.0005670016980729997,0,0.7267336845397949,3.6583283957725143e-08,1.175239412987139e-05,1,0.0,3634.0410650456756,0,0.0,0,0,0,0,7.292070388793945,0.6256743669509888,0.005353202112019062,11.49609375,1762701080.6260114,9.740217501530424e-05,0.005353202112019062,0.9757394790649414,0,0.3548086881637573,0.0,9,0,0,0.0,0.00014710426330566406,0,0.9558125734329224,0.0005670016980729997,0.0015364271821454167,0.0,3.812471405240103e-08,0,0.8989490270614624,14536.164260182702,9,1,0.0,0,0,0.0,0.0
