is_masked_low/std,unmasked_mismatch_kl/std,time/save_weights,sequence_masked_low/median,trainer_probs/median,masked_mismatch_kl/mean,perf/peak_memory,time/broadcast_weights,sequence_masked_low/std,sequence_masked_low/max,is_masked/max,unmasked_mismatch_kl/min,perf/mfu,perf/throughput,loss/max,trainer_probs/max,trainer_probs/std,is_masked/min,is_masked/mean,unmasked_mismatch_kl/median,_timestamp,is_masked_high/max,is_masked_low/median,sequence_masked_low/min,optim/lr,entropy/min,masked_mismatch_kl/median,time/load_data,is_masked_low/min,masked_mismatch_kl/min,unmasked_mismatch_kl/mean,time/save_ckpt,masked_mismatch_kl/std,inference_probs/std,inference_probs/min,entropy/median,entropy/mean,mismatch_kl/max,_step,time/step,inference_probs/mean,time/forward_backward,masked_mismatch_kl/max,mismatch_kl/min,_runtime,loss/min,trainer_probs/min,entropy/std,mismatch_kl/median,time/wait_for_batch,optim/grad_norm,unmasked_mismatch_kl/max,trainer_probs/mean,is_masked_high/mean,is_masked_high/median,loss/mean,is_masked_low/mean,loss/median,is_masked/std,mismatch_kl/mean,inference_probs/median,step,loss/std,inference_probs/max,is_masked_high/min,perf/throughput_per_gpu,is_masked_high/std,is_masked/median,sequence_masked_low/mean,entropy/max,is_masked_low/max,mismatch_kl/std
0.0,0.00024990682140924037,0.0,0,0.7338494062423706,0.0,5.30859375,0.0,0,0,0,0.0,0.0,0.0,0.00022729426564183086,1.0,0.35463055968284607,0,0.0,0.0010523488745093346,1762975586.2764127,0,0,0,1e-06,0,0.0,0.01677703857421875,0,0.0,0.0010455669835209846,0.0,0.0,0.354573130607605,1.7022642850861303e-08,0.7906856536865234,0.946643590927124,0.0016793044051155448,0,142.68639254570007,0.6299434304237366,109.50549149513245,0.0,0.0,250.088869561,-0.00020295610011089593,1.4282785620878258e-08,0.9000902771949768,0.0010523488745093346,33.00563311576843,0.002889759372919798,0.0016793044051155448,0.6297178864479065,0.0,0,7.381901923508849e-06,0.0,4.3142345020896755e-06,0.0,0.0010455669835209846,0.7338598966598511,0,6.313878111541271e-05,1,0,0.0,0.0,0,0,8.043758392333984,0,0.00024990682140924037
0.0,0.00026397930923849344,1.7425320148468018,0,0.7354987263679504,0.0,6.076171875,1.7425320148468018,0,0,0,0.0,0.44910715707972865,1378.5192710623169,0.00046989062684588134,1.0,0.35416078567504883,0,0.0,0.0010464092483744025,1762975684.6420898,0,0,0,1e-06,0,0.0,0.01807093620300293,0,0.0,0.001053338055498898,0.0,0.0,0.3540077209472656,3.778093926598558e-08,0.7847919464111328,0.9427171945571899,0.0018456093966960907,1,96.62020540237427,0.6309413909912109,96.56144523620605,0.0,0.0,349.327225683,-0.0003693999897222966,3.7672496233653874e-08,0.9033792614936829,0.0010464092483744025,0.00016260147094726562,0.007264105603098869,0.0018456093966960907,0.6306216716766357,0.0,0,3.485308843664825e-05,0.0,1.0188065061811358e-05,0.0,0.001053338055498898,0.735869288444519,1,0.00013897976896259934,1,0,344.6298177655792,0.0,0,0,7.234419822692871,0,0.00026397930923849344
0.0,0.00022272055502980947,1.6229274272918701,0,0.7341814637184143,0.0,11.279296875,1.6229274272918701,0,0,0,0.0,0.4580598849649061,1405.9993673461158,0.0007502794032916427,1.0,0.35339292883872986,0,0.0,0.0010297866538167,1762975783.8577185,0,0,0,1e-06,0,0.0,0.021756649017333984,0,0.0,0.001051439787261188,0.0,0.0,0.3532721698284149,1.2676287575175138e-08,0.7853374481201172,0.9376541972160339,0.001787997200153768,2,97.57839775085449,0.6308578848838806,97.50097370147705,0.0,0.0,446.97174474,-0.0002618536236695945,1.416069128623576e-08,0.89045250415802,0.0010297866538167,7.510185241699219e-05,0.004167633596807718,0.001787997200153768,0.630599856376648,0.0,0,1.8298422219231725e-05,0.0,5.527456323761726e-06,0.0,0.001051439787261188,0.7340102195739746,2,0.0001041970681399107,1,0,351.49984183652896,0.0,0,0,7.276607513427734,0,0.00022272055502980947
0.0,0.00022409649682231247,2.198256492614746,0,0.7460053563117981,0.0,11.279296875,2.198256492614746,0,0,0,0.0,0.4580385712408203,1405.9339455889087,0.0006850814097560942,1.0,0.3543069064617157,0,0.0,0.0011041245888918638,1762975881.510037,0,0,0,1e-06,0,0.0,0.00947427749633789,0,0.0,0.0010997041827067733,0.0,0.0,0.354097455739975,1.9530148165358696e-08,0.7640838623046875,0.9183204174041748,0.0018215366872027516,3,95.4314956665039,0.635392427444458,95.37577152252197,0.0,0.0,543.054780195,-0.0006200564675964415,1.880134981036008e-08,0.8790462017059326,0.0011041245888918638,0.00011014938354492188,0.010310562327504158,0.0018215366872027516,0.6352651715278625,0.0,0,2.2026233637006953e-05,0.0,7.308858130272711e-06,0.0,0.0010997041827067733,0.7454028725624084,3,0.00015392347995657474,1,0,351.4834863972272,0.0,0,0,7.402807235717773,0,0.00022409649682231247
0.0,0.00023556934320367873,1.6459496021270752,0,0.7323178648948669,0.0,11.279296875,1.6459496021270752,0,0,0,0.0,0.45586301291979575,1399.2561427002768,0.00036527510383166373,1.0,0.35504111647605896,0,0.0,0.0011231274111196399,1762975977.5979207,0,0,0,1e-06,0,0.0,0.009119510650634766,0,0.0,0.0011343148071318865,0.0,0.0,0.3549575209617615,3.7482490000684265e-08,0.7847328186035156,0.9482361078262329,0.0018522723112255335,4,94.42211103439331,0.6287845373153687,94.36778569221497,0.0,0.0,634.51938015,-0.00030816972139291465,3.945310922404133e-08,0.9073439240455627,0.0011231274111196399,8.511543273925781e-05,0.005061392206698656,0.0018522723112255335,0.6287297010421753,0.0,0,1.8710685253608972e-05,0.0,5.378335117711686e-06,0.0,0.0011343148071318865,0.7325119376182556,4,0.00010307638149242848,1,0,349.8140356750692,0.0,0,0,7.191760063171387,0,0.00023556934320367873
0.0,0.0004201899573672563,1.510549545288086,0,0.7454606294631958,0.0,11.279296875,1.510549545288086,0,0,0,0.0,0.4543035152487093,1394.4693171979884,0.0010634659556671977,1.0,0.35511356592178345,0,0.0,0.0013401912292465568,1762976069.0632637,0,0,0,1e-06,0,0.0,0.008468151092529297,0,0.0,0.0014150528004392982,0.0,0.0,0.35485175251960754,2.506458152140567e-08,0.7710895538330078,0.9358137845993042,0.004555333871394396,5,89.94148182868958,0.6346970200538635,89.88649463653564,0.0,0.0,734.429090716,-0.0013940478675067425,2.4803302522968806e-08,0.9073618650436401,0.0013401912292465568,0.00016260147094726562,0.01145156379789114,0.004555333871394396,0.6346433758735657,0.0,0,2.9566326702479273e-05,0.0,1.1524189176270738e-05,0.0,0.0014150528004392982,0.7445958852767944,5,0.00024924130411818624,1,0,348.6173292994971,0.0,0,0,7.912614822387695,0,0.0004201899573672563
0.0,0.0004672719514928758,1.8519196510314941,0,0.7403544783592224,0.0,13.892578125,1.8519196510314941,0,0,0,0.0,0.4541194281302626,1393.9042679968506,0.001189877395518124,1.0,0.35579079389572144,0,0.0,0.0014048594748601317,1762976168.9787161,0,0,0,1e-06,0,0.0,0.013563394546508789,0,0.0,0.0014542588032782078,0.0,0.0,0.35550135374069214,2.7945565861386967e-08,0.7799339294433594,0.9484732747077942,0.0037704340647906065,6,98.04792809486389,0.6319403052330017,97.99240016937256,0.0,0.0,832.831804021,-0.0004891069256700575,2.3049080866144322e-08,0.9234972596168518,0.0014048594748601317,0.003777027130126953,0.009522936306893826,0.0037704340647906065,0.6317773461341858,0.0,0,2.6160754714510404e-05,0.0,7.953584827191662e-06,0.0,0.0014542588032782078,0.7397259473800659,6,0.0001929036370711401,1,0,348.47606699921266,0.0,0,0,8.348212242126465,0,0.0004672719514928758
0.0,0.0006115072756074369,1.755434274673462,0,0.7598654627799988,0.0,13.892578125,1.755434274673462,0,0,0,0.0,0.4593916836549147,1410.0872785058714,0.000491246348246932,1.0,0.3542514741420746,0,0.0,0.001419245614670217,1762976267.390943,0,0,0,1e-06,0,0.0,0.00993967056274414,0,0.0,0.0015454753302037716,0.0,0.0,0.35391977429389954,3.895317846058788e-08,0.7357959747314453,0.917470395565033,0.004285587463527918,7,96.63712096214294,0.6416248679161072,96.57959318161011,0.0,0.0,924.621785719,-0.00043538035242818296,3.9708659471671126e-08,0.9143468737602234,0.001419245614670217,0.0002129077911376953,0.006212430540472269,0.004285587463527918,0.6416952013969421,0.0,0,2.2628351871389896e-05,0.0,7.03456180417561e-06,0.0,0.0015454753302037716,0.7592251300811768,7,0.00013492675498127937,1,0,352.52181962646785,0.0,0,0,7.252190589904785,0,0.0006115072756074369
0.0,0.0006672691670246422,1.604710340499878,0,0.727470338344574,0.0,13.89453125,1.604710340499878,0,0,0,0.0008769408450461924,0.4589865783858662,1408.8438215460146,0.0002647334767971188,1.0,0.3564873933792114,0,0.0,0.001737849903292954,1762976359.1535518,0,0,0,1e-06,0,0.0,0.008934974670410156,0,0.0,0.0018437395337969065,0.0,0.0,0.3560979962348938,2.592629577691241e-08,0.8021678924560547,0.9667246341705322,0.007839889265596867,8,90.1446213722229,0.6249732971191406,90.09987163543701,0.0,0.0008769408450461924,1020.846785526,-0.00022477364109363407,2.290896006229559e-08,0.9312599897384644,0.001737849903292954,0.0002262592315673828,0.0034241622779518366,0.007839889265596867,0.625150740146637,0.0,0,9.765534741745796e-06,0.0,6.998641765676439e-06,0.0,0.0018437395337969065,0.7266144752502441,8,7.62634226703085e-05,1,0,352.21095538650366,0.0,0,0,7.476037979125977,0,0.0006672691670246422
0.0,0.0008442517137154937,1.9750158786773682,0,0.7467796802520752,0.0,13.89453125,1.9750158786773682,0,0,0,0.0,0.45805647078439155,1405.9888876341806,0.0005400973604992032,1.0,0.35554420948028564,0,0.0,0.001988582545891404,1762976455.3579283,0,0,0,1e-06,0,0.0,0.009414196014404297,0,0.0,0.0021532203536480665,0.0,0.0,0.35504618287086487,1.6896196441962275e-08,0.7596912384033203,0.9316537380218506,0.007909649051725864,9,94.20993781089783,0.6345095634460449,94.15561008453369,0.0,0.0,1112.917001989,-0.001554297050461173,1.691599571529423e-08,0.9136252999305725,0.001988582545891404,0.00010752677917480469,0.007876381278038025,0.007909649051725864,0.6346085071563721,0.0,0,1.3834737728757318e-05,0.0,1.0079643288918305e-05,0.0,0.0021532203536480665,0.7456453442573547,9,0.00019684342260006815,1,0,351.49722190854516,0.0,0,0,7.334328651428223,0,0.0008442517137154937
